movieId,title,clean_titles,year,genres,movies_text
1,Toy Story (1995),toy story,1995,Adventure|Animation|Children|Comedy|Fantasy,toy story adventure animation children comedy fantasy
2,Jumanji (1995),jumanji,1995,Adventure|Children|Fantasy,jumanji adventure children fantasy
3,Grumpier Old Men (1995),grumpier old men,1995,Comedy|Romance,grumpier old men comedy romance
4,Waiting to Exhale (1995),waiting to exhale,1995,Comedy|Drama|Romance,waiting to exhale comedy drama romance
5,Father of the Bride Part II (1995),father of the bride part ii,1995,Comedy,father of the bride part ii comedy
6,Heat (1995),heat,1995,Action|Crime|Thriller,heat action crime thriller
7,Sabrina (1995),sabrina,1995,Comedy|Romance,sabrina comedy romance
8,Tom and Huck (1995),tom and huck,1995,Adventure|Children,tom and huck adventure children
9,Sudden Death (1995),sudden death,1995,Action,sudden death action
10,GoldenEye (1995),goldeneye,1995,Action|Adventure|Thriller,goldeneye action adventure thriller
11,"American President, The (1995)","american president, the",1995,Comedy|Drama|Romance,"american president, the comedy drama romance"
12,Dracula: Dead and Loving It (1995),dracula: dead and loving it,1995,Comedy|Horror,dracula: dead and loving it comedy horror
13,Balto (1995),balto,1995,Adventure|Animation|Children,balto adventure animation children
14,Nixon (1995),nixon,1995,Drama,nixon drama
15,Cutthroat Island (1995),cutthroat island,1995,Action|Adventure|Romance,cutthroat island action adventure romance
16,Casino (1995),casino,1995,Crime|Drama,casino crime drama
17,Sense and Sensibility (1995),sense and sensibility,1995,Drama|Romance,sense and sensibility drama romance
18,Four Rooms (1995),four rooms,1995,Comedy,four rooms comedy
19,Ace Ventura: When Nature Calls (1995),ace ventura: when nature calls,1995,Comedy,ace ventura: when nature calls comedy
20,Money Train (1995),money train,1995,Action|Comedy|Crime|Drama|Thriller,money train action comedy crime drama thriller
21,Get Shorty (1995),get shorty,1995,Comedy|Crime|Thriller,get shorty comedy crime thriller
22,Copycat (1995),copycat,1995,Crime|Drama|Horror|Mystery|Thriller,copycat crime drama horror mystery thriller
23,Assassins (1995),assassins,1995,Action|Crime|Thriller,assassins action crime thriller
24,Powder (1995),powder,1995,Drama|Sci-Fi,powder drama sci-fi
25,Leaving Las Vegas (1995),leaving las vegas,1995,Drama|Romance,leaving las vegas drama romance
26,Othello (1995),othello,1995,Drama,othello drama
27,Now and Then (1995),now and then,1995,Children|Drama,now and then children drama
28,Persuasion (1995),persuasion,1995,Drama|Romance,persuasion drama romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","city of lost children, the (cité des enfants perdus, la)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"city of lost children, the (cité des enfants perdus, la) adventure drama fantasy mystery sci-fi"
31,Dangerous Minds (1995),dangerous minds,1995,Drama,dangerous minds drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),twelve monkeys (a.k.a. 12 monkeys),1995,Mystery|Sci-Fi|Thriller,twelve monkeys (a.k.a. 12 monkeys) mystery sci-fi thriller
34,Babe (1995),babe,1995,Children|Drama,babe children drama
36,Dead Man Walking (1995),dead man walking,1995,Crime|Drama,dead man walking crime drama
39,Clueless (1995),clueless,1995,Comedy|Romance,clueless comedy romance
41,Richard III (1995),richard iii,1995,Drama|War,richard iii drama war
42,Dead Presidents (1995),dead presidents,1995,Action|Crime|Drama,dead presidents action crime drama
43,Restoration (1995),restoration,1995,Drama,restoration drama
44,Mortal Kombat (1995),mortal kombat,1995,Action|Adventure|Fantasy,mortal kombat action adventure fantasy
45,To Die For (1995),to die for,1995,Comedy|Drama|Thriller,to die for comedy drama thriller
46,How to Make an American Quilt (1995),how to make an american quilt,1995,Drama|Romance,how to make an american quilt drama romance
47,Seven (a.k.a. Se7en) (1995),seven (a.k.a. se7en),1995,Mystery|Thriller,seven (a.k.a. se7en) mystery thriller
48,Pocahontas (1995),pocahontas,1995,Animation|Children|Drama|Musical|Romance,pocahontas animation children drama musical romance
50,"Usual Suspects, The (1995)","usual suspects, the",1995,Crime|Mystery|Thriller,"usual suspects, the crime mystery thriller"
52,Mighty Aphrodite (1995),mighty aphrodite,1995,Comedy|Drama|Romance,mighty aphrodite comedy drama romance
57,Home for the Holidays (1995),home for the holidays,1995,Drama,home for the holidays drama
58,"Postman, The (Postino, Il) (1994)","postman, the (postino, il)",1994,Comedy|Drama|Romance,"postman, the (postino, il) comedy drama romance"
60,"Indian in the Cupboard, The (1995)","indian in the cupboard, the",1995,Adventure|Children|Fantasy,"indian in the cupboard, the adventure children fantasy"
61,Eye for an Eye (1996),eye for an eye,1996,Drama|Thriller,eye for an eye drama thriller
62,Mr. Holland's Opus (1995),mr. holland's opus,1995,Drama,mr. holland's opus drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),don't be a menace to south central while drinking your juice in the hood,1996,Comedy|Crime,don't be a menace to south central while drinking your juice in the hood comedy crime
64,Two if by Sea (1996),two if by sea,1996,Comedy|Romance,two if by sea comedy romance
65,Bio-Dome (1996),bio-dome,1996,Comedy,bio-dome comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),lawnmower man 2: beyond cyberspace,1996,Action|Sci-Fi|Thriller,lawnmower man 2: beyond cyberspace action sci-fi thriller
68,French Twist (Gazon maudit) (1995),french twist (gazon maudit),1995,Comedy|Romance,french twist (gazon maudit) comedy romance
69,Friday (1995),friday,1995,Comedy,friday comedy
70,From Dusk Till Dawn (1996),from dusk till dawn,1996,Action|Comedy|Horror|Thriller,from dusk till dawn action comedy horror thriller
71,Fair Game (1995),fair game,1995,Action,fair game action
72,Kicking and Screaming (1995),kicking and screaming,1995,Comedy|Drama,kicking and screaming comedy drama
73,"Misérables, Les (1995)","misérables, les",1995,Drama|War,"misérables, les drama war"
74,Bed of Roses (1996),bed of roses,1996,Drama|Romance,bed of roses drama romance
75,Big Bully (1996),big bully,1996,Comedy|Drama,big bully comedy drama
76,Screamers (1995),screamers,1995,Action|Sci-Fi|Thriller,screamers action sci-fi thriller
79,"Juror, The (1996)","juror, the",1996,Drama|Thriller,"juror, the drama thriller"
81,Things to Do in Denver When You're Dead (1995),things to do in denver when you're dead,1995,Crime|Drama|Romance,things to do in denver when you're dead crime drama romance
82,Antonia's Line (Antonia) (1995),antonia's line (antonia),1995,Comedy|Drama,antonia's line (antonia) comedy drama
85,Angels and Insects (1995),angels and insects,1995,Drama|Romance,angels and insects drama romance
86,White Squall (1996),white squall,1996,Action|Adventure|Drama,white squall action adventure drama
87,Dunston Checks In (1996),dunston checks in,1996,Children|Comedy,dunston checks in children comedy
88,Black Sheep (1996),black sheep,1996,Comedy,black sheep comedy
89,Nick of Time (1995),nick of time,1995,Action|Thriller,nick of time action thriller
92,Mary Reilly (1996),mary reilly,1996,Drama|Horror|Thriller,mary reilly drama horror thriller
93,Vampire in Brooklyn (1995),vampire in brooklyn,1995,Comedy|Horror|Romance,vampire in brooklyn comedy horror romance
