movieId,title,genres,year,clean_titles,clean_genres,movies_text,count,mean_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,toy story,adventure animation children comedy fantasy,toy story adventure animation children comedy fantasy,215,3.9209302325581397
2,Jumanji (1995),Adventure|Children|Fantasy,1995,jumanji,adventure children fantasy,jumanji adventure children fantasy,110,3.4318181818181817
3,Grumpier Old Men (1995),Comedy|Romance,1995,grumpier old men,comedy romance,grumpier old men comedy romance,52,3.2596153846153846
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,waiting to exhale,comedy drama romance,waiting to exhale comedy drama romance,7,2.357142857142857
5,Father of the Bride Part II (1995),Comedy,1995,father of the bride part ii,comedy,father of the bride part ii comedy,49,3.0714285714285716
6,Heat (1995),Action|Crime|Thriller,1995,heat,action crime thriller,heat action crime thriller,102,3.946078431372549
7,Sabrina (1995),Comedy|Romance,1995,sabrina,comedy romance,sabrina comedy romance,54,3.185185185185185
8,Tom and Huck (1995),Adventure|Children,1995,tom and huck,adventure children,tom and huck adventure children,8,2.875
9,Sudden Death (1995),Action,1995,sudden death,action,sudden death action,16,3.125
10,GoldenEye (1995),Action|Adventure|Thriller,1995,goldeneye,action adventure thriller,goldeneye action adventure thriller,132,3.496212121212121
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"american president, the",comedy drama romance,"american president, the comedy drama romance",70,3.6714285714285713
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,dracula: dead and loving it,comedy horror,dracula: dead and loving it comedy horror,19,2.4210526315789473
13,Balto (1995),Adventure|Animation|Children,1995,balto,adventure animation children,balto adventure animation children,8,3.125
14,Nixon (1995),Drama,1995,nixon,drama,nixon drama,18,3.8333333333333335
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,cutthroat island,action adventure romance,cutthroat island action adventure romance,13,3.0
16,Casino (1995),Crime|Drama,1995,casino,crime drama,casino crime drama,82,3.926829268292683
17,Sense and Sensibility (1995),Drama|Romance,1995,sense and sensibility,drama romance,sense and sensibility drama romance,67,3.7761194029850746
18,Four Rooms (1995),Comedy,1995,four rooms,comedy,four rooms comedy,20,3.7
