movieId,title,year,poster_url
1,Toy Story (1995),1995.0,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),1995.0,https://image.tmdb.org/t/p/original/6aGn2X51bahFoOI8wE1h2VGTgcH.jpg
5,Father of the Bride Part II (1995),1995.0,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),1995.0,https://image.tmdb.org/t/p/original/obpPQskaVpSiC9RcJRB6iWDTCXS.jpg
10,GoldenEye (1995),1995.0,https://image.tmdb.org/t/p/original/bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg
12,Dracula: Dead and Loving It (1995),1995.0,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),1995.0,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
15,Cutthroat Island (1995),1995.0,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),1995.0,https://image.tmdb.org/t/p/original/znekQtDwXQrll2XYZqXOxncCgLd.jpg
17,Sense and Sensibility (1995),1995.0,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),1995.0,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),1995.0,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),1995.0,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),1995.0,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
23,Assassins (1995),1995.0,https://image.tmdb.org/t/p/original/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
24,Powder (1995),1995.0,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),1995.0,https://image.tmdb.org/t/p/original/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg
31,Dangerous Minds (1995),1995.0,https://image.tmdb.org/t/p/original/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
34,Babe (1995),1995.0,https://image.tmdb.org/t/p/original/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
36,Dead Man Walking (1995),1995.0,https://image.tmdb.org/t/p/original/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg
38,It Takes Two (1995),1995.0,https://image.tmdb.org/t/p/original/sdes5TrRbymELYLG85YIxmFb1OP.jpg
39,Clueless (1995),1995.0,https://image.tmdb.org/t/p/original/71RW4lkES2Dt7vSLSXvekGYNskG.jpg
44,Mortal Kombat (1995),1995.0,https://image.tmdb.org/t/p/original/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,To Die For (1995),1995.0,https://image.tmdb.org/t/p/original/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
48,Pocahontas (1995),1995.0,https://image.tmdb.org/t/p/original/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
61,Eye for an Eye (1996),1996.0,https://image.tmdb.org/t/p/original/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,https://image.tmdb.org/t/p/original/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg
69,Friday (1995),1995.0,https://image.tmdb.org/t/p/original/2lReF53F8trkC68piGSfk0JVwWU.jpg
70,From Dusk Till Dawn (1996),1996.0,https://image.tmdb.org/t/p/original/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
71,Fair Game (1995),1995.0,https://image.tmdb.org/t/p/original/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg
88,Black Sheep (1996),1996.0,https://image.tmdb.org/t/p/original/bV9SCk4QXCi9p1kdDBiYejcMQwK.jpg
95,Broken Arrow (1996),1996.0,https://image.tmdb.org/t/p/original/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg
104,Happy Gilmore (1996),1996.0,https://image.tmdb.org/t/p/original/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
110,Braveheart (1995),1995.0,https://image.tmdb.org/t/p/original/or1gBugydmjToAEq7OZY0owwFk.jpg
111,Taxi Driver (1976),1976.0,https://image.tmdb.org/t/p/original/ekstpH614fwDX8DUln1a2Opz0N8.jpg
122,Boomerang (1992),1992.0,https://image.tmdb.org/t/p/original/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg
132,Jade (1995),1995.0,https://image.tmdb.org/t/p/original/lPkDrz6e5DWkKailsx3mIjtq0GF.jpg
135,Down Periscope (1996),1996.0,https://image.tmdb.org/t/p/original/tYdGWz9oncuhqxn5eAK5CpjCiYo.jpg
145,Bad Boys (1995),1995.0,https://image.tmdb.org/t/p/original/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg
150,Apollo 13 (1995),1995.0,https://image.tmdb.org/t/p/original/oYUZHYMwNKnE1ef4WE5Hw2a9OAY.jpg
151,Rob Roy (1995),1995.0,https://image.tmdb.org/t/p/original/4QuypgbNYmPECAAHnV3QY8qEpOz.jpg
153,Batman Forever (1995),1995.0,https://image.tmdb.org/t/p/original/klm0mzHyOdYrLKXoRKD0ODCdvDG.jpg
158,Casper (1995),1995.0,https://image.tmdb.org/t/p/original/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg
160,Congo (1995),1995.0,https://image.tmdb.org/t/p/original/9mqMitlulCpsttWr2fVzXFlbPKm.jpg
161,Crimson Tide (1995),1995.0,https://image.tmdb.org/t/p/original/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg
163,Desperado (1995),1995.0,https://image.tmdb.org/t/p/original/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg
165,Die Hard: With a Vengeance (1995),1995.0,https://image.tmdb.org/t/p/original/amwo4CjYKynZ2yKvKMxoiRSsaE1.jpg
168,First Knight (1995),1995.0,https://image.tmdb.org/t/p/original/xuXkCcrvUTkehVXuTGpnfySsx0Z.jpg
169,Free Willy 2: The Adventure Home (1995),1995.0,https://image.tmdb.org/t/p/original/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg
170,Hackers (1995),1995.0,https://image.tmdb.org/t/p/original/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg
172,Johnny Mnemonic (1995),1995.0,https://image.tmdb.org/t/p/original/iH8Jgi8qvb7pnBfI8fVGaUbyRna.jpg
173,Judge Dredd (1995),1995.0,https://image.tmdb.org/t/p/original/aja6BILb8Efe4eJksiPs5pHd5ai.jpg
175,Kids (1995),1995.0,https://image.tmdb.org/t/p/original/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg
177,Lord of Illusions (1995),1995.0,https://image.tmdb.org/t/p/original/miQREwapDUNwfInokjeVLt8BiNM.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),1995.0,https://image.tmdb.org/t/p/original/h18blchYYeoAfQHsEMGYUNbht0C.jpg
193,Showgirls (1995),1995.0,https://image.tmdb.org/t/p/original/wIHiWN7kCELUZzbCMpMcxNC8HlS.jpg
195,Something to Talk About (1995),1995.0,https://image.tmdb.org/t/p/original/a52KpsmvLNdTdmDzw1fUrJONpfH.jpg
196,Species (1995),1995.0,https://image.tmdb.org/t/p/original/cT5wdyo8kT7dycqjrolJ2sHWkFx.jpg
202,Total Eclipse (1995),1995.0,https://image.tmdb.org/t/p/original/e0j1zDF3ITeTbGTXFGamosCxT4z.jpg
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995.0,https://image.tmdb.org/t/p/original/8bkJiI6N8wDxAtQ49bLUt0qCBII.jpg
204,Under Siege 2: Dark Territory (1995),1995.0,https://image.tmdb.org/t/p/original/gElwFCQTbSK5hdK0PVyia547nst.jpg
208,Waterworld (1995),1995.0,https://image.tmdb.org/t/p/original/f4Q6BKm1lv9u5xoffbIIwrOYf6z.jpg
212,Bushwhacked (1995),1995.0,https://image.tmdb.org/t/p/original/j3H0POtvl0Tt4Meesvp7HX6JxAv.jpg
215,Before Sunrise (1995),1995.0,https://image.tmdb.org/t/p/original/khKJwHxgXSpDl3iKGJ5S15I8ABI.jpg
216,Billy Madison (1995),1995.0,https://image.tmdb.org/t/p/original/1XV42Zu9taxluIKXMeV9OSpYCSq.jpg
225,Disclosure (1994),1994.0,https://image.tmdb.org/t/p/original/dnA4QkIZZCF9wRtF8HHxWwUXVMf.jpg
227,Drop Zone (1994),1994.0,https://image.tmdb.org/t/p/original/bbveyfmq6pGrzKL0l4waeA2WHHp.jpg
230,Dolores Claiborne (1995),1995.0,https://image.tmdb.org/t/p/original/gfCh3TEQNEoro8lq21y4zYIic4D.jpg
236,French Kiss (1995),1995.0,https://image.tmdb.org/t/p/original/phNRL2E2fa8k0NyP39T4QCIAHgt.jpg
241,Fluke (1995),1995.0,https://image.tmdb.org/t/p/original/k7BHqoTWJPpoSpfCzzUjAduuIbX.jpg
247,Heavenly Creatures (1994),1994.0,https://image.tmdb.org/t/p/original/uvb86wVCIqD3Rlbr0GTNgWDF7Zo.jpg
249,Immortal Beloved (1994),1994.0,https://image.tmdb.org/t/p/original/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg
256,Junior (1994),1994.0,https://image.tmdb.org/t/p/original/eQmgPrXf7c7daRdl3Zwgm65lw3o.jpg
261,Little Women (1994),1994.0,https://image.tmdb.org/t/p/original/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg
266,Legends of the Fall (1994),1994.0,https://image.tmdb.org/t/p/original/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg
267,Major Payne (1995),1995.0,https://image.tmdb.org/t/p/original/kWHx5eq7PELkF3If7LrrhuBskRG.jpg
276,Milk Money (1994),1994.0,https://image.tmdb.org/t/p/original/od8SCOMLDq4iRYaHNqihQVn1SNE.jpg
277,Miracle on 34th Street (1994),1994.0,https://image.tmdb.org/t/p/original/sWjL1zD0XjQrOTP9jLiAbzvBKEW.jpg
288,Natural Born Killers (1994),1994.0,https://image.tmdb.org/t/p/original/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
289,Only You (1994),1994.0,https://image.tmdb.org/t/p/original/7mLLANXgUg3bibTiUitDlB0NZcU.jpg
292,Outbreak (1995),1995.0,https://image.tmdb.org/t/p/original/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg
296,Pulp Fiction (1994),1994.0,https://image.tmdb.org/t/p/original/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
300,Quiz Show (1994),1994.0,https://image.tmdb.org/t/p/original/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg
316,Stargate (1994),1994.0,https://image.tmdb.org/t/p/original/5TE3obJopSD9lWCa6rqF2E4Oda7.jpg
327,Tank Girl (1995),1995.0,https://image.tmdb.org/t/p/original/dpX63vJd6k5fMTudLaEOw9ffX8h.jpg
329,Star Trek: Generations (1994),1994.0,https://image.tmdb.org/t/p/original/rHsCYDGHFUarGh5k987b0EFU6kC.jpg
332,Village of the Damned (1995),1995.0,https://image.tmdb.org/t/p/original/1Iezq745huWW3xB5xQMPDdyyWx7.jpg
337,What's Eating Gilbert Grape (1993),1993.0,https://image.tmdb.org/t/p/original/8FxWgsfDNosewo7H65oE4QkOb7g.jpg
338,Virtuosity (1995),1995.0,https://image.tmdb.org/t/p/original/5emgnXYrXjqyiup2JsvtuENseiV.jpg
339,While You Were Sleeping (1995),1995.0,https://image.tmdb.org/t/p/original/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg
342,Muriel's Wedding (1994),1994.0,https://image.tmdb.org/t/p/original/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg
344,Ace Ventura: Pet Detective (1994),1994.0,https://image.tmdb.org/t/p/original/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg
347,Bitter Moon (1992),1992.0,https://image.tmdb.org/t/p/original/6iJSKPwWxD79MY3lJQMOBA9xdza.jpg
